"periode","year","month","debut_numero_pseudo","volume"
"202501","2025","01","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","2443747.9921514"
"202505","2025","05","c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894","21768331.524413"
"202501","2025","01","7f2253d7e228b22a08bda1f09c516f6fead81df6536eb02fa991a34bb38d9be8","3.15612535616"
"202505","2025","05","349c41201b62db851192665c504b350ff98c6b45fb62a8a2161f78b6534d8de9","53117256.688834"
"202503","2025","03","c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894","21660958.98431"
"202503","2025","03","ff5a1ae012afa5d4c889c50ad427aaf545d31a4fac04ffc1c4d03d403ba4250a","10711.487388274"
"202501","2025","01","349c41201b62db851192665c504b350ff98c6b45fb62a8a2161f78b6534d8de9","45059607.702518"
"202501","2025","01","a88a7902cb4ef697ba0b6759c50e8c10297ff58f942243de19b984841bfe1f73","71186369.94557"
"202506","2025","06","f369cb89fc627e668987007d121ed1eacdc01db9e28f8bb26f358b7d8c4f08ac","406482.8261176"
"202503","2025","03","e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855","1074111.9490491"
"202503","2025","03","349c41201b62db851192665c504b350ff98c6b45fb62a8a2161f78b6534d8de9","57687297.876387"
"202506","2025","06","c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894","1314402.5680413"
"202506","2025","06","349c41201b62db851192665c504b350ff98c6b45fb62a8a2161f78b6534d8de9","3369543.9796074"
"202504","2025","04","7f2253d7e228b22a08bda1f09c516f6fead81df6536eb02fa991a34bb38d9be8","4.30321927742"
"202505","2025","05","f369cb89fc627e668987007d121ed1eacdc01db9e28f8bb26f358b7d8c4f08ac","6373489.5076351"
"202504","2025","04","349c41201b62db851192665c504b350ff98c6b45fb62a8a2161f78b6534d8de9","53366894.227067"
"202503","2025","03","f369cb89fc627e668987007d121ed1eacdc01db9e28f8bb26f358b7d8c4f08ac","6480236.0856272"
"202502","2025","02","f74efabef12ea619e30b79bddef89cffa9dda494761681ca862cff2871a85980","22249.665188409"
"202503","2025","03","a88a7902cb4ef697ba0b6759c50e8c10297ff58f942243de19b984841bfe1f73","85569286.077702"
"202505","2025","05","ff5a1ae012afa5d4c889c50ad427aaf545d31a4fac04ffc1c4d03d403ba4250a","10550.95059259"
"202503","2025","03","7f2253d7e228b22a08bda1f09c516f6fead81df6536eb02fa991a34bb38d9be8","0.0477843489"
"202504","2025","04","f369cb89fc627e668987007d121ed1eacdc01db9e28f8bb26f358b7d8c4f08ac","6493841.8637379"
"202502","2025","02","ff5a1ae012afa5d4c889c50ad427aaf545d31a4fac04ffc1c4d03d403ba4250a","9670.4727282893"
"202506","2025","06","ff5a1ae012afa5d4c889c50ad427aaf545d31a4fac04ffc1c4d03d403ba4250a","820.54606727855"
"202501","2025","01","f369cb89fc627e668987007d121ed1eacdc01db9e28f8bb26f358b7d8c4f08ac","6599865.3348818"
